File,Minor,Major,Total,Ownership,Bugs
Lucene40NormsReader.java,45.0,1.0,46.0,0.5,2.0
TokenInfoDictionaryWriter.java,45.0,1.0,46.0,0.5,0.0
ExtractingDocumentLoader.java,46.0,0.0,46.0,0.1904762,0.0
TestPerfTasksLogic.java,46.0,0.0,46.0,0.30508474,7.0
SessionToken.java,46.0,0.0,46.0,0.33333334,0.0
MoreLikeThis.java,45.0,1.0,46.0,0.5,5.0
AllowLeadingWildcardProcessor.java,46.0,0.0,46.0,0.375,0.0
Decompressor.java,45.0,1.0,46.0,1.0,1.0
ReverseBytesReader.java,45.0,1.0,46.0,0.6666667,0.0
TestMultiWordSynonyms.java,45.0,1.0,46.0,0.6315789,2.0
ReplicationHandler.java,46.0,0.0,46.0,0.35185185,2.0
FieldValueHitQueue.java,46.0,0.0,46.0,0.33333334,1.0
ExpressionValueSource.java,45.0,1.0,46.0,1.0,1.0
Store.java,45.0,1.0,46.0,1.0,0.0
TestTotalFacetCountsCache.java,46.0,0.0,46.0,0.4814815,2.0
WordDelimiterFilterFactory.java,45.0,1.0,46.0,0.52,6.0
DoubleMetaphoneFilterFactory.java,46.0,0.0,46.0,0.46153846,1.0
TestSimpleAttributeImpl.java,46.0,0.0,46.0,0.2857143,0.0
BulkOperationPacked24.java,45.0,1.0,46.0,0.6,2.0
FuzzyTermsEnum.java,46.0,0.0,46.0,0.3653846,5.0
TestTurkishAnalyzer.java,45.0,1.0,46.0,0.75,5.0
GrowableByteArrayDataOutput.java,45.0,1.0,46.0,1.0,0.0
VarSortedBytesImpl.java,45.0,1.0,46.0,0.5192308,2.0
DocSetPerf.java,46.0,0.0,46.0,0.33333334,0.0
ScandinavianFoldingFilter.java,45.0,1.0,46.0,1.0,0.0
TermQueryBuilder.java,46.0,0.0,46.0,0.44444445,0.0
TypeTokenFilter.java,46.0,0.0,46.0,0.2857143,4.0
LukeRequestHandler.java,46.0,0.0,46.0,0.18,6.0
DistributedUpdateProcessor.java,46.0,0.0,46.0,0.48863637,2.0
EnglishStemmer.java,45.0,1.0,46.0,0.85714287,0.0
BoundaryScanner.java,45.0,1.0,46.0,0.6,0.0
TieredMergePolicy.java,46.0,0.0,46.0,0.46341464,6.0
LongPriorityQueue.java,46.0,0.0,46.0,0.25,0.0
TestASCIIFoldingFilter.java,45.0,1.0,46.0,0.7619048,2.0
ScoreCachingWrappingScorer.java,46.0,0.0,46.0,0.46666667,3.0
ReplicationServlet.java,45.0,1.0,46.0,0.6666667,1.0
DataImportHandlerException.java,46.0,0.0,46.0,0.33333334,0.0
SuggesterParams.java,44.0,2.0,46.0,0.5,0.0
TestTruncateTokenFilter.java,45.0,1.0,46.0,1.0,0.0
ClassicFilter.java,45.0,1.0,46.0,0.5,0.0
RussianLightStemmer.java,45.0,1.0,46.0,0.6,0.0
SolrInfoMBeanTest.java,46.0,0.0,46.0,0.33333334,0.0
TestMorfologikFilterFactory.java,46.0,0.0,46.0,0.41666666,1.0
MemoryDocValuesProducer.java,45.0,1.0,46.0,0.5714286,7.0
CarrotParams.java,45.0,1.0,46.0,0.54545456,0.0
MiniSolrCloudCluster.java,45.0,1.0,46.0,0.75,0.0
FacetParamsMissingPropertyException.java,45.0,1.0,46.0,0.6,0.0
DirectIOLinuxDirectory.java,46.0,0.0,46.0,0.45454547,1.0
SortSorter.java,45.0,1.0,46.0,1.0,3.0
BCDStrField.java,46.0,0.0,46.0,0.22222222,0.0
AnlysisResponseBaseTest.java,45.0,1.0,46.0,0.5,0.0
SimpleTextNormsConsumer.java,46.0,0.0,46.0,0.4,1.0
TestBloomFilteredLucene40Postings.java,45.0,1.0,46.0,0.5,1.0
DocFieldConsumers.java,46.0,0.0,46.0,0.42857143,0.0
AnalyticsRequestFactory.java,46.0,0.0,46.0,0.33333334,0.0
TestNot.java,45.0,1.0,46.0,0.5185185,3.0
DirectXmlRequest.java,45.0,1.0,46.0,0.6,0.0
NewLocaleTask.java,45.0,1.0,46.0,0.71428573,0.0
DataOutputOutputStream.java,45.0,1.0,46.0,1.0,0.0
TestFrenchMinimalStemFilterFactory.java,45.0,1.0,46.0,0.7,1.0
TestTopKInEachNodeResultHandler.java,46.0,0.0,46.0,0.4827586,3.0
TermsFilter.java,46.0,0.0,46.0,0.35897437,3.0
PortugueseMinimalStemFilterFactory.java,45.0,1.0,46.0,0.5,1.0
SolrQueryEscapingEvaluator.java,44.0,2.0,46.0,0.5,0.0
RejectingUpdateConflictResolver.java,45.0,1.0,46.0,1.0,0.0
ObjectToIntMap.java,46.0,0.0,46.0,0.45454547,1.0
TestJavaBinCodec.java,46.0,0.0,46.0,0.3,0.0
SrndTermQuery.java,45.0,1.0,46.0,0.5833333,0.0
EnwikiContentSource.java,46.0,0.0,46.0,0.4375,3.0
TermVectorsTermsWriter.java,46.0,0.0,46.0,0.34615386,3.0
FieldCacheRewriteMethod.java,46.0,0.0,46.0,0.425,6.0
